all_transcript_id	FTA-10	FTA-11	FTA-12	FTA-13	FTA-14	FTA-15	FTA-16	FTA-17	FTA-18	FTA-19	FTA-1	FTA-20	FTA-23	FTA-24	FTA-2	FTA-3	FTA-4	FTA-5	FTA-6	FTA-9	FTC-10	FTC-11	FTC-12	FTC-13	FTC-14	FTC-15	FTC-16	FTC-17	FTC-18	FTC-19	FTC-1	FTC-20	FTC-21	FTC-22	FTC-2	FTC-3	FTC-4	FTC-5	FTC-6	FTC-7	FTC-8
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3p	2	10	1	2	5	6	8	5	1	1	11	2	3	0	1	2	4	3	0	2	1	0	2	2	5	3	2	3	11	2	1	4	2	3	3	4	3	3	0	2	0
hsa-let-7a-5p	28185	101716	64803	95142	178638	37035	85078	36047	51620	52602	38556	11421	10455	13874	44026	22032	33588	32919	43800	67767	108722	48967	36035	40176	82682	73588	13538	16427	22235	19411	15021	101766	23848	9992	36470	29227	17937	29321	22812	205407	129591
hsa-let-7b-3p	1	6	7	6	16	2	5	1	2	3	9	3	1	4	5	3	5	3	6	3	4	2	4	1	3	4	0	2	2	3	2	0	4	3	1	0	3	9	0	1	4
hsa-let-7b-5p	14765	64475	33424	92775	103703	21689	56611	19971	31327	31470	28228	8541	7388	8946	21374	15908	18396	11727	19606	20555	43494	21435	17618	18107	23032	18053	7879	10497	12558	12895	10295	55896	15858	6518	19109	19650	11462	13122	14182	120210	49175
hsa-let-7c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	2911	14425	6595	16434	20084	5909	14252	5121	6566	11017	4715	2082	1881	2252	5523	921	1619	1155	1067	859	11997	5421	3333	3837	5883	3917	2168	2256	2955	3128	2225	16791	3908	1583	6362	4774	2633	818	2825	42690	23290
hsa-let-7d-3p	37	114	40	115	100	24	99	16	42	30	103	10	9	12	29	33	42	17	33	25	59	20	9	19	76	85	16	18	35	13	10	31	14	8	16	29	14	56	7	27	28
hsa-let-7d-5p	235	1221	333	1275	1983	392	1197	187	519	652	650	221	155	212	336	203	358	269	467	375	825	234	157	194	387	337	164	253	269	272	205	799	262	159	380	342	246	286	175	1581	1142
hsa-let-7e-3p	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0
hsa-let-7e-5p	732	1602	1409	414	1398	337	989	387	758	449	884	190	209	262	676	552	796	302	479	866	1666	556	622	683	1373	1299	216	362	354	279	290	639	297	226	687	463	377	627	396	822	825
hsa-let-7f-1-3p	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
hsa-let-7f-2-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-5p	6425	30760	21822	28261	75350	12441	25128	9088	21258	12340	13445	5812	5322	6722	7330	6641	13439	11350	19086	31860	62720	29664	15669	18034	73642	61650	6108	8190	10892	8640	7026	29438	9666	5006	13141	11782	9718	5618	9582	67261	52482
hsa-let-7g-3p	0	3	4	1	1	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0
hsa-let-7g-5p	635	2406	754	1914	4168	715	3350	496	1374	701	1849	549	506	619	862	609	1177	666	947	1340	1564	470	687	618	1238	912	431	622	1037	684	597	1887	859	445	710	548	675	1016	325	2675	2583
hsa-let-7i-3p	0	4	1	3	5	1	11	1	1	0	2	0	0	0	1	2	6	0	1	2	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	4	0	1	0
hsa-let-7i-5p	2036	16141	5609	11513	20595	3856	9644	2127	6458	4156	5361	2654	2062	2677	4323	3410	5375	2845	5180	6187	12785	3948	2642	2898	17804	14725	1991	3446	5453	3243	2410	10406	3769	1900	3570	3905	3179	2161	2942	23257	12968
hsa-miR-100-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-100-5p	3	12	14	2	16	2	10	2	7	4	9	3	5	8	5	9	17	11	3	4	1	5	4	1	1	3	5	5	10	8	7	1	12	6	34	66	7	11	2	15	8
hsa-miR-101-2-5p	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0
hsa-miR-101-3p	270	2281	854	1610	2931	616	2792	289	881	728	1241	377	405	591	1079	419	1070	679	1602	729	985	300	336	346	1467	1203	389	378	960	478	425	1805	666	363	856	846	567	411	358	2983	2602
hsa-miR-101-5p	0	2	1	1	2	0	0	0	1	0	1	0	0	0	3	0	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	1	0	0	0	1	0	3	0	2	0
