all_transcript_id	csFTA-10	csFTA-11	csFTA-12	csFTA-13	csFTA-15	csFTA-16	csFTA-17	csFTA-18	csFTA-1	csFTA-20	csFTA-23	csFTA-24	csFTA-2	csFTA-3	csFTA-4	csFTA-5	csFTA-6	csFTA-9	csFTC-10	csFTC-11	csFTC-12	csFTC-13	csFTC-14	csFTC-15	csFTC-16	csFTC-17	csFTC-18	csFTC-19	csFTC-1	csFTC-20	csFTC-21	csFTC-22	csFTC-2	csFTC-3	csFTC-4	csFTC-5	csFTC-6	csFTC-7	csFTC-8
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3p	3	0	0	5	4	0	0	1	1	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	13	2	1	0	0	0	0	0	1	0	0	2	2
hsa-let-7a-5p	18774	8047	7903	23960	20501	2897	4861	1524	24705	14162	5403	4704	21146	15420	15465	3730	11194	3437	17480	4800	1621	2118	2221	3723	2684	25052	33865	4373	2346	15485	2669	1116	15011	15256	40348	6033	5402	73711	20445
hsa-let-7b-3p	2	1	1	2	2	1	3	2	5	5	2	1	1	4	3	0	3	0	2	4	0	1	0	1	0	3	101	2	1	2	0	0	3	1	7	0	1	1	3
hsa-let-7b-5p	9742	10412	5777	12269	11406	3913	4893	2022	28134	15923	7163	6023	17432	15842	11954	2064	10944	3499	9907	11840	1598	1751	4721	8371	5631	32924	60895	6319	4910	17673	2954	1208	11948	13556	22127	2922	6847	51265	13209
hsa-let-7c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	2922	351	1366	913	3420	606	808	231	5919	2823	1281	1202	5073	3819	2864	962	2210	501	2903	631	411	418	333	664	673	3186	7877	1005	523	3774	129	208	1105	3775	6180	1393	220	12835	3708
hsa-let-7d-3p	11	9	15	10	17	4	12	20	34	72	4	15	29	32	34	0	42	7	12	27	1	6	14	19	10	80	1452	9	15	12	5	4	35	17	57	10	6	74	14
hsa-let-7d-5p	221	169	91	259	243	48	40	28	382	329	85	86	354	260	214	27	213	36	231	121	16	21	48	57	38	641	713	92	49	262	40	12	267	259	402	56	112	930	279
hsa-let-7e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0
hsa-let-7e-5p	247	89	87	248	260	15	26	20	78	52	27	27	88	123	88	14	67	38	223	64	17	22	27	35	15	254	140	21	19	139	7	3	238	60	429	39	44	231	238
hsa-let-7f-1-3p	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0
hsa-let-7f-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
hsa-let-7f-5p	7582	1836	1844	8968	8150	798	992	517	4383	4895	1285	985	2889	2463	4480	311	2590	530	7227	1349	823	410	632	707	706	6871	8018	823	823	3361	421	221	4240	3552	10059	1069	1332	21051	8074
hsa-let-7g-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	1	0	0	0	1	3	0
hsa-let-7g-5p	547	261	179	670	581	282	219	137	1715	1817	404	381	819	383	592	41	633	134	521	215	58	129	154	258	155	1397	4897	405	390	516	161	33	716	609	954	150	205	3545	722
hsa-let-7i-3p	0	0	1	0	0	1	1	2	3	7	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1	2	9	0	1	0	0	0	0	0	1	0	0	1	0
hsa-let-7i-5p	2407	1209	878	3346	2868	773	1457	534	4007	6258	1803	1316	2787	1896	2545	327	1954	527	2528	1523	607	294	793	1101	765	8690	22715	1597	1401	2305	693	328	2646	2957	4256	627	925	9767	3242
hsa-miR-100-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-5p	9	2	1	7	10	1	0	2	3	0	0	0	6	7	9	0	2	1	8	2	4	0	0	0	0	1	5	1	0	0	0	0	21	3	6	3	1	1	10
hsa-miR-101-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-101-3p	488	179	132	668	512	146	221	128	1100	1320	343	412	1284	632	437	107	376	71	484	86	360	57	92	107	134	770	2293	306	312	280	97	63	602	719	998	195	103	1127	770
hsa-miR-101-5p	0	0	1	0	0	0	0	1	0	2	0	1	1	2	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0
hsa-miR-10226	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10392-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10392-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	3	0	1
hsa-miR-10393-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10393-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10394-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10394-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10395-3p	2	14	2	2	2	0	0	4	0	0	0	3	2	8	1	0	3	0	2	0	0	2	0	1	0	3	1	1	0	2	0	0	1	1	0	0	1	1	2
